scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Motilal Oswal Long Term Equity Fund,Equity,ELSS Mutual Funds,6,3,0.8,2187.0,8,1.36,1.02,0.88,8.5,25.0,10.0,500
Motilal Oswal Midcap Fund,Equity,Mid Cap Mutual Funds,6,5,0.87,3769.0,9,1.98,7.69,0.77,14.6,34.0,16.4,500
Motilal Oswal Nasdaq 100 FOF – Direct Growth,Other,FoFs Overseas,6,0,0.1,3378.0,4,0.77,-,-,-6.2,21.4,8.9,500
Motilal Oswal Nifty 50 Index Fund,Other,Index Funds,6,4,0.14,234.0,3,1.31,-0.6,0.99,0.1,26.0,8.9,500
Motilal Oswal Nifty 500 Index Fund,Other,Index Funds,6,3,0.4,372.0,4,1.34,-0.81,0.99,-1.2,26.7,8.9,500
Motilal Oswal Nifty Bank Index Fund,Other,Index Funds,6,2,0.21,332.0,4,0.95,0,1,10.8,25.0,8.9,500
Motilal Oswal Nifty Midcap 150 Index Fund,Other,Index Funds,6,3,0.22,644.0,4,1.58,-1.33,1.03,4.8,33.7,8.9,500
Motilal Oswal Nifty Next 50 Index Fund,Other,Index Funds,6,2,0.33,118.0,3,0.95,-4.95,0.98,-5.9,21.8,8.9,500
Motilal Oswal Nifty Smallcap 250 Index Fund,Other,Index Funds,6,2,0.31,312.0,4,1.52,-1.24,0.99,-4.8,37.1,8.9,500
Motilal Oswal Ultra Short Term Fund,Debt,Ultra Short Duration Funds,1,1,0.58,101.0,10,-0.09,1.32,1.01,4.7,3.9,1.8,500
Navi 3 In 1 Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,2,0.34,15.0,10,1.41,0.91,0.89,0.2,32.6,12.4,500
Navi ELSS Tax Saver Fund,Equity,ELSS Mutual Funds,6,2,0.4,56.0,7,-,-,-,1.3,23.4,10.5,500
Navi Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,0.42,82.0,5,1.41,1.73,0.77,3.2,19.7,8.9,500
Navi Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.43,202.0,5,1.41,0.91,0.89,2.1,25.9,8.9,500
Navi Large & Midcap Fund,Equity,Large & Mid Cap Funds,6,3,0.35,234.0,7,1.61,5.26,0.85,1.6,28.7,12.7,500
Navi Large Cap Equity Fund,Equity,Large Cap Mutual Funds,6,2,0.31,91.0,10,1.61,5.26,0.85,0.2,32.6,12.4,500
Navi Regular Savings Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,0.39,26.0,10,1.38,1.01,0.5,4.4,8.4,6.5,500
Navi Ultra Short Term Fund,Debt,Ultra Short Duration Funds,2,1,0.73,11.0,10,0.79,1.07,0.59,1.7,32.4,13.3,500
Nippon India Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,4,0.21,9234.0,10,1.31,1.74,0.61,5.6,4.9,5.7,100
Nippon India Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5,3,0.65,6593.0,10,1.58,3.1,0.56,5.3,17.1,10.1,100
Nippon India Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,4,0.33,4008.0,8,1.08,5.1,2.27,4.2,6.9,7.4,100
Nippon India Banking&Financial Services-DirGrowth,Equity,Sectoral / Thematic Mutual Funds,6,3,1.32,3826.0,10,1.15,6.01,0.93,8.8,28.3,9.5,100
