scheme_name,category,sub_category,risk_level,rating,expense_ratio,fund_size_cr,fund_age_yr,sharpe,alpha,beta,returns_1yr,returns_3yr,returns_5yr,min_sip
Aditya Birla SL Active Debt Multi-Mgr FoF-Dir Growth,Other,FoFs Domestic,3,3,0.27,10.0,10,0.24,2.24,0.01,4.0,6.5,6.9,100
Aditya Birla SL Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.36,4288.0,10,1.1,1.53,0.56,5.6,4.8,5.5,1000
Aditya Birla SL Asset Allocator FoF-Dir Growth,Other,FoFs Domestic,5,3,0.53,157.0,10,1.42,2.67,0.67,2.0,18.9,9.7,1000
Aditya Birla SL Bal Bhavishya Yojna – Dir Growth,Solution Oriented,Childrens Funds,6,2,0.76,637.0,4,0.9,-6.37,0.85,-0.7,17.1,8.9,500
Aditya Birla SL Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,4,0.61,6386.0,10,1.39,1.99,0.68,4.5,18.6,9.7,100
Aditya Birla SL Banking&Financial Services-DirGrowth,Equity,Sectoral / Thematic Mutual Funds,6,2,1.17,2384.0,9,0.97,1.24,0.96,5.3,24.6,9.2,1000
Aditya Birla SL Banking&PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,4,0.37,7994.0,10,1.09,4.46,1.78,4.5,6.8,7.3,1000
Aditya Birla SL CEF – Global Agri Plan-Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,0,1.29,15.0,10,1.06,-,-,-10.3,29.4,9.3,1000
Aditya Birla SL Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,4,0.31,12120.0,10,1.35,2.38,0.78,4.9,7.1,7.4,100
Aditya Birla SL Credit Risk Fund,Debt,Credit Risk Funds,4,4,0.69,1032.0,8,1.47,3.01,-0.95,8.7,9.0,7.2,100
Aditya Birla SL Digital India Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,0.88,3338.0,10,1.53,9.37,0.83,-14.6,39.8,21.1,100
Aditya Birla SL Dividend Yield Fund,Equity,Dividend Yield Funds,6,0,1.73,850.0,10,1.58,5.04,0.85,6.2,30.5,10.0,1000
Aditya Birla SL Dynamic Bond Fund,Debt,Dynamic Bond,3,5,0.64,1795.0,10,1.02,3.02,0.91,7.5,8.0,6.0,1000
Aditya Birla SL Equity Advantage Fund,Equity,Large & Mid Cap Funds,6,1,1.14,4836.0,10,1.16,-2.06,0.98,-9.9,22.3,7.9,1000
Aditya Birla SL Equity Hybrid ’95 Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,1.01,7046.0,10,1.33,1.43,0.85,-5.7,20.4,7.7,100
Aditya Birla SL Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,2,1.21,451.0,8,1.2,1.11,0.99,0.8,11.7,6.9,1000
Aditya Birla SL Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.86,15449.0,10,1.27,-1.46,0.96,-2.1,25.0,10.4,100
Aditya Birla SL Floating Rate Fund,Debt,Floater Mutual Funds,2,5,0.23,12364.0,10,1.66,3.73,1.37,5.8,6.4,6.8,1000
Aditya Birla SL Focused Equity Fund,Equity,Focused Funds,6,3,1.06,5633.0,10,1.26,-1.14,0.95,-0.7,24.0,10.7,1000
Aditya Birla SL FP FoF – Aggressive – Direct Growth,Other,FoFs Domestic,6,3,0.22,159.0,10,1.4,1.65,0.8,2.5,21.7,10.7,100
Aditya Birla SL FP FoF – Conservative – Direct Growth,Other,FoFs Domestic,4,4,0.34,14.0,10,1.57,1.94,0.36,4.7,13.3,8.2,100
Aditya Birla SL FP FoF – Moderate – Direct Growth,Other,FoFs Domestic,5,3,0.36,28.0,10,1.44,1.69,0.58,3.7,17.3,9.4,100
Aditya Birla SL Frontline Equity Fund,Equity,Large Cap Mutual Funds,6,3,1.03,21131.0,10,1.39,0.76,0.95,1.6,26.3,10.6,100
Aditya Birla SL Global Emerging Oppt Fund,Other,FoFs Overseas,6,0,0.7,261.0,10,0.7,-,-,-5.7,18.8,8.3,100
Aditya Birla SL Gold Fund,Other,FoFs Domestic,5,2,0.15,278.0,10,0.45,-0.57,0.97,11.8,12.1,13.2,100
Aditya Birla SL Govt Securities Fund,Debt,Gilt Mutual Funds,3,3,0.29,1351.0,10,0.57,1.09,0.73,3.6,6.0,8.0,1000
Aditya Birla SL Income Fund,Debt,Medium to Long Duration Funds,3,4,0.49,1496.0,10,0.64,1.69,1.51,3.5,7.1,7.7,1000
Aditya Birla SL India GenNext Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,0.82,3217.0,10,1.43,3.33,0.79,4.6,25.0,13.3,1000
Aditya Birla SL Infrastructure Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.7,562.0,10,1.4,4.38,0.85,13.5,35.6,9.2,1000
Aditya Birla SL Inter Equity – Plan A-Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,0,1.75,108.0,10,0.81,-,-,0.9,17.7,10.4,1000
Aditya Birla SL Inter Equity – Plan B-Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,0,2.15,90.0,10,1.14,-1.93,0.87,-4.1,22.7,7.6,1000
Aditya Birla SL Liquid Fund,Debt,Liquid Mutual Funds,3,4,0.21,28071.0,10,1.06,1.49,0.8,5.7,4.4,5.4,500
Aditya Birla SL Low Duration Fund,Debt,Low Duration Funds,3,4,0.39,10035.0,10,2.05,3.33,1,5.7,6.5,7.0,100
Aditya Birla SL Manufacturing Equity Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.56,613.0,8,1.18,-1.7,0.83,-2.9,21.7,6.8,1000
Aditya Birla SL Medium Term Plan – Direct Growth,Debt,Medium Duration Funds,4,5,0.86,1652.0,10,0.93,9.65,1.12,22.1,14.5,8.6,1000
Aditya Birla SL Midcap Fund,Equity,Mid Cap Mutual Funds,6,1,1.2,3436.0,10,1.54,-0.81,0.89,-3.6,28.0,8.3,1000
Aditya Birla SL Money Manager Fund,Debt,Money Market Funds,3,4,0.21,13095.0,10,1.94,3.06,1.31,5.6,5.6,6.4,1000
Aditya Birla SL Nifty 50 Index Fund,Other,Index Funds,6,3,0.32,494.0,10,1.29,-0.87,0.99,0.7,25.5,11.6,1000
Aditya Birla SL Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.07,13399.0,4,0.02,0.58,0.43,5.4,3.9,8.9,0
Aditya Birla SL Pure Value Fund,Equity,Value Funds,6,1,1.12,3798.0,10,1.36,3.41,0.99,3.0,29.8,4.3,1000
Aditya Birla SL Regular Savings Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,0.92,1585.0,10,2.08,5.71,0.6,3.6,13.9,7.6,500
Aditya Birla SL Retirement-The 30s Plan-Dir Growth,Solution Oriented,Retirement Funds,6,2,1.06,258.0,4,0.94,-5.61,0.84,0.0,17.9,8.9,500
Aditya Birla SL Retirement-The 40s Plan-Dir Growth,Solution Oriented,Retirement Funds,6,2,1.07,91.0,4,0.93,-3.14,0.77,-0.1,15.0,8.9,500
Aditya Birla SL Retirement-The 50s Plan-Dir Growth,Solution Oriented,Retirement Funds,4,2,0.63,27.0,4,0.13,-2.04,0.34,3.0,4.6,8.9,500
Aditya Birla SL Retirement-The 50sPlus-Debt-DirGrowth,Solution Oriented,Retirement Funds,3,1,0.85,26.0,4,0.18,0.09,1.09,2.9,4.6,8.9,500
Aditya Birla SL Savings Fund,Debt,Ultra Short Duration Funds,3,4,0.34,14457.0,10,1.96,2.64,0.86,5.5,5.8,6.5,1000
Aditya Birla SL Short Term Fund,Debt,Short Duration Funds,3,4,0.38,5045.0,10,1.57,4.91,1.27,5.5,7.8,7.6,1000
Aditya Birla SL Small Cap Fund,Equity,Small Cap Mutual Funds,6,1,1.04,2901.0,10,1.51,-0.73,0.89,-2.3,31.6,5.4,1000
Aditya Birla SL Tax Relief ’96 – Direct Growth,Equity,ELSS Mutual Funds,6,1,0.93,12755.0,10,0.83,-7.68,0.87,-3.0,16.1,5.8,500
AXIS All Seasons Debt Fund,Other,FoFs Domestic,4,4,0.22,161.0,3,1.02,1.88,0.8,4.7,6.2,8.9,1000
AXIS Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,4,0.31,3085.0,9,1.21,1.41,0.44,5.6,4.9,5.6,1000
AXIS Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,2,0.7,2077.0,6,1.05,-1.23,0.53,1.2,12.4,8.0,1000
AXIS Banking & PSU Debt Fund,Debt,Banking and PSU Mutual Funds,3,4,0.33,13953.0,10,1.11,3.83,1.62,4.5,6.4,7.2,1000
AXIS Bluechip Fund,Equity,Large Cap Mutual Funds,6,4,0.63,33049.0,10,0.9,-5.97,0.89,-6.1,17.3,12.1,500
AXIS Children’s Gift Fund,Solution Oriented,Childrens Funds,6,0,1.06,685.0,7,1.1,-1.6,0.86,-6.5,17.8,10.1,1000
AXIS Corporate Debt Fund,Debt,Corporate Bond Mutual Funds,3,5,0.22,3783.0,6,1.28,2.46,0.67,4.9,7.5,7.3,1000
AXIS Credit Risk Fund,Debt,Credit Risk Funds,4,4,0.81,620.0,9,1.77,3.22,0.26,5.4,7.4,6.8,1000
AXIS Dynamic Bond Fund,Debt,Dynamic Bond,3,2,0.26,1733.0,10,0.45,1.2,1.84,3.4,6.5,7.7,1000
AXIS Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,2,0.89,1699.0,5,1.09,-1.88,0.87,-4.9,17.4,8.9,1000
AXIS Equity Saver Fund,Hybrid,Equity Savings Mutual Funds,4,3,0.88,978.0,8,1.19,0.66,1.16,1.4,12.7,8.8,1000
AXIS Flexi Cap Fund,Equity,Flexi Cap Funds,6,4,0.7,10077.0,5,0.92,-5.98,0.89,-8.3,17.9,12.3,500
AXIS Floater Fund,Debt,Floater Mutual Funds,2,2,0.16,416.0,2,-,-,-,5.8,18.5,8.9,1000
AXIS Focused 25 Fund,Equity,Focused Funds,6,2,0.74,15139.0,10,0.74,-10.67,1.04,-14.7,14.8,8.9,500
AXIS FTP – Series 104 – 1112Days,Debt,Fixed Maturity Plans,2,0,0.13,110.0,4,2.19,5.29,2.36,11.2,14.5,14.0,0
AXIS FTP – Series 109 – 111Days,Debt,Fixed Maturity Plans,3,0,0.0,565.0,1,-,-,-,11.2,14.5,14.0,0
AXIS Gilt Fund,Debt,Gilt Mutual Funds,3,4,0.39,133.0,10,0.6,1.09,0.56,4.0,5.9,7.9,1000
AXIS Gold Fund,Other,FoFs Domestic,5,4,0.17,290.0,10,0.49,-0.04,0.97,14.5,12.0,13.7,1000
AXIS Growth Opportunities Fund,Equity,Large & Mid Cap Funds,6,3,0.59,8053.0,4,1.28,1.19,0.91,-6.4,26.5,8.9,1000
AXIS Liquid Fund,Debt,Liquid Mutual Funds,2,4,0.15,27226.0,10,0.96,1.41,0.78,5.7,4.3,5.4,0
AXIS Long Term Equity Fund,Equity,ELSS Mutual Funds,6,2,0.85,28754.0,10,0.75,-9.98,1.02,-11.1,15.7,9.4,500
AXIS Midcap Fund,Equity,Mid Cap Mutual Funds,6,5,0.57,18920.0,10,1.4,-2.25,0.81,-2.5,25.2,15.8,500
AXIS Money Market Fund,Debt,Money Market Funds,2,4,0.21,4002.0,4,1.91,2.81,1.22,5.6,5.4,8.9,1000
AXIS Nifty 100 Index Fund,Other,Index Funds,6,3,0.15,953.0,3,1.24,-1.76,0.99,-1.7,25.1,8.9,1000
AXIS Overnight Fund,Debt,Overnight Mutual Funds,1,4,0.05,12566.0,4,0.09,0.62,0.44,5.4,3.9,8.9,0
AXIS Regular Saver Fund,Hybrid,Conservative Hybrid Mutual Funds,4,3,0.86,407.0,10,1.37,1.34,0.71,1.8,10.9,7.0,1000
AXIS Retirement Savings Fund,Solution Oriented,Retirement Funds,6,2,0.6,270.0,3,0.79,-4.95,0.85,-1.3,13.6,8.9,1000
AXIS Retirement Savings Fund,Solution Oriented,Retirement Funds,5,2,0.41,81.0,3,1.04,-0.04,0.83,-2.5,10.3,8.9,1000
AXIS Retirement Savings Fund,Solution Oriented,Retirement Funds,6,1,0.65,633.0,3,0.76,-4.49,0.78,-4.1,14.0,8.9,1000
AXIS Short Term Fund,Debt,Short Duration Funds,3,4,0.3,7096.0,10,1.38,4.6,1.78,4.9,6.9,7.4,1000
AXIS Small Cap Fund,Equity,Small Cap Mutual Funds,6,5,0.54,11462.0,9,2.06,8.34,0.66,3.4,34.5,19.4,500
AXIS Strategic Bond Fund,Debt,Medium Duration Funds,4,4,0.39,1644.0,10,1.46,2.56,0.7,5.2,7.4,7.4,1000
AXIS Treasury Advantage Fund,Debt,Low Duration Funds,2,4,0.29,4614.0,10,1.75,3.09,1.17,5.3,5.9,6.6,1000
AXIS Triple Advantage Fund,Hybrid,Multi Asset Allocation Mutual Funds,6,2,0.72,1478.0,10,1.08,-2.21,0.91,-5.1,18.1,10.4,1000
AXIS Ultra Short Term Fund,Debt,Ultra Short Duration Funds,3,4,0.31,4491.0,5,2.25,2.29,0.81,5.7,5.4,8.9,1000
Bandhan Asset Allocation FoF – Moderate – Direct Growth,Other,FoFs Domestic,5,0,0.42,16.0,10,1.31,0.73,0.43,1.3,12.7,6.9,100
Bandhan FTP – Sr.179,Debt,Fixed Maturity Plans,3,0,0.05,286.0,4,0.64,9.78,5.4,4.4,6.2,8.9,0
Bank of India Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,1,0.98,12.0,5,-0.78,0.24,0.52,4.2,3.4,8.9,1000
Bank of India Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,2,2.07,90.0,9,0.81,-1.05,0.54,13.6,12.1,5.1,1000
Bank of India Conservative Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,3,4,2.2,63.0,10,0.93,6.44,0.64,22.3,15.5,6.4,1000
Bank of India Credit Risk Fund,Debt,Credit Risk Funds,4,5,1.54,161.0,8,0.38,-13.36,-31.86,130.8,12.8,-4.1,0
Bank of India Large & Mid Cap Equity Fund,Equity,Large & Mid Cap Funds,6,2,1.89,204.0,10,1.4,1.7,0.88,2.7,25.6,9.5,1000
Bank of India Liquid Fund,Debt,Liquid Mutual Funds,2,4,0.18,403.0,10,0.92,1.38,0.76,5.7,4.3,5.3,0
Bank of India Manufacturing & Infrastr Fund,Equity,Sectoral / Thematic Mutual Funds,6,4,1.55,87.0,10,1.8,12.2,0.54,7.6,35.4,11.5,1000
Bank of India Mid & Small Cap Equity & Debt Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,4,1.92,380.0,7,1.59,10.87,0.75,-0.3,29.3,10.4,1000
Bank of India Midcap Tax Fund,Equity,ELSS Mutual Funds,6,0,0.95,51.0,5,1.38,3.13,0.87,-4.1,27.1,10.6,0
Bank of India Midcap Tax Fund,Equity,ELSS Mutual Funds,6,0,0.56,26.0,4,1.36,2.58,0.87,-4.7,26.0,8.9,0
Bank of India Overnight Fund,Debt,Overnight Mutual Funds,1,5,0.17,82.0,3,0.39,0.76,0.47,5.5,4.0,8.9,0
Bank of India Short Term Income – Direct Growth,Debt,Short Duration Funds,2,5,0.98,72.0,10,0.43,3.58,-0.99,28.3,8.8,4.0,1000
Bank of India Small Cap Fund,Equity,Small Cap Mutual Funds,6,4,1.52,414.0,4,1.93,8.58,0.81,-1.0,47.7,8.9,1000
Bank of India Tax Advantage Fund,Equity,ELSS Mutual Funds,6,4,1.31,676.0,10,1.5,3.48,0.89,0.9,29.0,13.2,500
Bank of India Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,3,2,0.36,118.0,10,1.07,2.06,1.12,5.2,4.7,5.7,1000
Baroda BNP Paribas Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,5,0.61,772.0,6,1.39,1.88,0.79,3.5,20.6,13.3,300
Baroda BNP Paribas Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.49,354.0,6,0.85,1.39,0.59,5.2,4.6,5.6,300
Baroda BNP Paribas Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,4,0.64,3123.0,4,1.46,2.61,0.7,3.7,19.8,8.9,500
Baroda BNP Paribas Banking & PSU Bond Fund,Debt,Banking and PSU Mutual Funds,2,2,0.39,40.0,2,-,-,-,2.5,18.5,8.9,500
Baroda BNP Paribas Banking&Fin Serv Fund,Equity,Sectoral / Thematic Mutual Funds,6,2,1.63,69.0,10,0.82,-2.87,0.89,6.6,19.2,9.1,500
Baroda BNP Paribas Conservative Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,4,4,0.78,501.0,10,1.29,0.64,0.58,3.7,9.2,7.7,300
Baroda BNP Paribas Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,2,0.32,17.0,10,0.43,0.69,0.9,2.8,5.6,4.4,300
Baroda BNP Paribas Credit Risk Fund,Debt,Credit Risk Funds,4,5,0.78,179.0,8,1.06,1.72,-3.29,5.7,10.9,7.6,500
Baroda BNP Paribas Dynamic Bond Fund,Debt,Dynamic Bond,3,2,0.71,115.0,10,0.49,0.91,1.36,5.2,5.7,6.6,300
Baroda BNP Paribas ELSS Fund,Equity,ELSS Mutual Funds,6,3,1.12,651.0,10,1.29,-0.94,0.83,-2.4,20.4,10.5,500
Baroda BNP Paribas Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,3,1.45,250.0,4,1.12,0.25,0.73,3.7,9.8,8.9,500
Baroda BNP Paribas Focused Fund,Equity,Focused Funds,6,3,0.67,299.0,5,1.27,-1.21,0.85,0.5,23.1,9.9,300
Baroda BNP Paribas Gilt Fund,Debt,Gilt Mutual Funds,3,2,0.14,138.0,10,0.28,0.07,0.66,3.7,4.9,6.8,500
Baroda BNP Paribas India Consumption Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,0.81,880.0,5,1.38,2.41,0.71,5.2,23.3,8.9,300
Baroda BNP Paribas Large Cap Fund,Equity,Large Cap Mutual Funds,6,4,0.94,1347.0,10,1.32,-0.18,0.86,3.0,23.5,12.8,300
Baroda BNP Paribas Liquid Fund,Debt,Liquid Mutual Funds,2,5,0.19,6686.0,10,0.93,1.32,0.72,5.7,4.4,5.4,500
Baroda BNP Paribas Low Duration Fund,Debt,Low Duration Funds,3,3,0.39,175.0,10,1.51,3.17,1.28,5.0,6.0,6.5,300
Baroda BNP Paribas Medium Duration Fund,Debt,Medium Duration Funds,3,2,0.69,37.0,9,0.32,0.42,1.16,3.9,5.0,3.5,300
Baroda BNP Paribas Mid Cap Fund,Equity,Mid Cap Mutual Funds,6,3,0.59,1192.0,10,1.67,1.31,0.86,2.4,30.6,13.6,300
Baroda BNP Paribas Money Market Fund,Debt,Money Market Funds,2,2,0.2,111.0,4,0.38,1.72,1.15,5.0,4.1,8.9,500
Baroda BNP Paribas Multi Cap Fund,Equity,Multi Cap Funds,6,2,1.1,1628.0,10,1.44,2.11,0.9,-1.7,28.8,12.3,500
Baroda BNP Paribas Overnight Fund,Debt,Overnight Mutual Funds,1,3,0.08,423.0,4,0.05,0.62,0.45,5.4,3.9,8.9,500
Baroda BNP Paribas Short Duration Fund,Debt,Short Duration Funds,3,3,0.37,235.0,10,0.88,3.6,1.55,4.2,5.7,6.7,500
Baroda BNP Paribas Ultra Short Duration Fund,Debt,Ultra Short Duration Funds,2,3,0.22,560.0,5,1.77,2.59,1.24,5.7,5.1,8.9,500
BHARAT Bond FOF – April 2025 – Direct Growth,Other,FoFs Domestic,2,2,0.06,3912.0,3,-,-,-,2.6,18.5,8.9,500
Canara Robeco Bluechip Equity Fund,Equity,Large Cap Mutual Funds,6,5,0.48,8672.0,10,1.35,0.16,0.89,1.7,24.3,14.4,1000
Canara Robeco Conservative Hybrid Fund,Hybrid,Conservative Hybrid Mutual Funds,4,5,0.57,1069.0,10,1.74,2.59,0.6,3.8,11.4,9.4,1000
Canara Robeco Consumer Trends Fund,Equity,Sectoral / Thematic Mutual Funds,6,4,1.0,935.0,10,1.48,4.63,0.74,7.1,26.7,15.1,1000
Canara Robeco Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,2,3,0.39,191.0,9,0.85,1.33,0.77,4.0,6.0,6.7,1000
Canara Robeco Dynamic Bond Fund,Debt,Dynamic Bond,3,3,0.66,116.0,10,0.47,0.74,1.02,4.7,5.3,6.6,1000
Canara Robeco Emerging Equities – Direct Growth,Equity,Large & Mid Cap Funds,6,3,0.6,15261.0,10,1.47,2.48,0.89,-0.2,27.0,12.6,1000
Canara Robeco Equity Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,4,0.63,8235.0,10,1.4,1.49,0.78,1.8,20.1,12.2,1000
Canara Robeco Equity Tax Saver Fund,Equity,ELSS Mutual Funds,6,5,0.64,4685.0,10,1.51,2.7,0.87,1.2,27.7,15.5,500
Canara Robeco Flexi Cap Fund,Equity,Flexi Cap Funds,6,4,0.55,8630.0,10,1.39,0.32,0.87,-0.9,24.8,13.8,1000
Canara Robeco Gilt Fund,Debt,Gilt Mutual Funds,3,3,0.54,80.0,10,0.43,0.47,0.55,4.3,5.1,7.0,1000
Canara Robeco Income Fund,Debt,Medium to Long Duration Funds,3,3,0.75,125.0,10,0.45,0.87,1.32,3.9,5.8,7.0,1000
Canara Robeco Infrastructure – Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,3,1.32,247.0,10,1.8,10.9,0.59,13.7,34.9,12.2,1000
Canara Robeco Liquid Fund,Debt,Liquid Mutual Funds,2,2,0.11,2548.0,10,0.47,1.07,0.66,5.6,4.1,5.1,1000
Canara Robeco Overnight Fund,Debt,Overnight Mutual Funds,1,2,0.1,216.0,4,0,0.61,0.45,5.3,3.9,8.9,0
Canara Robeco Savings Fund,Debt,Low Duration Funds,2,2,0.31,1003.0,10,1.12,2.64,1.33,5.0,5.2,5.9,1000
Canara Robeco Short Duration Fund,Debt,Short Duration Funds,2,3,0.47,520.0,10,0.87,3.98,1.95,4.1,5.9,6.5,1000
Canara Robeco Small Cap Fund,Equity,Small Cap Mutual Funds,6,5,0.47,4831.0,4,2.17,12.23,0.79,-0.6,51.8,8.9,1000
Canara Robeco Ultra Short Term Fund,Debt,Ultra Short Duration Funds,2,2,0.4,565.0,10,0.84,1.82,1.04,5.2,4.5,5.3,500
DSP Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,3,0.35,1238.0,5,0.82,1.45,0.64,5.6,4.6,5.4,500
DSP Banking & Psu Debt Fund,Debt,Banking and PSU Mutual Funds,2,3,0.33,2463.0,10,0.84,4.78,2.4,4.0,6.4,6.9,500
DSP Bond Fund,Debt,Medium Duration Funds,3,3,0.39,333.0,10,0.62,1.17,1.02,3.8,6.1,4.9,500
DSP Corporate Bond Fund,Debt,Corporate Bond Mutual Funds,3,2,0.25,2065.0,5,0.45,0.76,0.73,2.6,5.6,8.9,500
DSP Credit Risk Fund,Debt,Credit Risk Funds,4,3,0.38,210.0,10,0.58,2.84,0.26,10.8,6.6,4.5,500
DSP Dynamic Asset Allocation Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,5,3,0.71,3770.0,9,1.03,-0.92,0.53,1.7,12.2,8.3,500
DSP Equity & Bond Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,3,0.78,7358.0,10,1.25,0.51,0.83,0.6,18.7,10.7,500
DSP Equity Opportunities Fund,Equity,Large & Mid Cap Funds,6,3,0.91,7110.0,10,1.4,1.89,0.93,3.2,31.6,11.7,500
DSP Equity Savings Fund,Hybrid,Equity Savings Mutual Funds,4,2,0.4,535.0,7,1.75,4.83,0.88,4.0,14.6,7.8,500
DSP Flexi Cap Fund,Equity,Flexi Cap Funds,6,3,0.76,7725.0,10,1.23,-1.47,0.93,-0.1,22.8,12.0,500
DSP Floater Fund,Debt,Floater Mutual Funds,2,1,0.24,983.0,2,-,-,-,4.4,18.5,8.9,500
DSP Focus Fund,Equity,Focused Funds,6,2,1.08,1784.0,10,1.11,-2.77,0.9,-1.7,20.4,8.9,500
DSP Global Allocation Fund,Other,FoFs Overseas,6,0,1.43,70.0,9,0.67,-,-,0.6,12.6,7.9,500
DSP G-Sec Fund,Debt,Gilt Mutual Funds,3,4,0.54,430.0,10,0.64,1.15,0.62,4.4,5.9,8.6,500
DSP Healthcare Fund,Equity,Sectoral / Thematic Mutual Funds,6,0,1.04,1197.0,4,1.19,6.84,0.78,-3.6,26.9,8.9,500
DSP India T.I.G.E.R. Fund,Equity,Sectoral / Thematic Mutual Funds,6,3,1.34,1797.0,10,1.78,10.78,0.64,15.8,36.4,11.9,500
DSP Liquidity Fund,Debt,Liquid Mutual Funds,3,3,0.15,13582.0,10,0.83,1.29,0.73,5.6,4.3,5.3,500
DSP Low Duration Fund,Debt,Low Duration Funds,2,2,0.3,3340.0,8,1.4,2.97,1.35,5.1,5.5,6.3,500
DSP Midcap Fund,Equity,Mid Cap Mutual Funds,6,2,0.77,13213.0,10,1.2,-6.18,0.85,-3.9,21.1,9.5,500
DSP Natural Resources & New Energy – Direct Growth,Equity,Sectoral / Thematic Mutual Funds,6,0,1.21,673.0,10,1.39,21.48,0.43,-0.7,44.3,12.0,500
DSP Nifty 50 Equal Weight Index Fund,Other,Index Funds,6,3,0.4,498.0,5,1.51,3.52,1.01,2.2,30.9,10.7,500
DSP Nifty 50 Index Fund,Other,Index Funds,6,3,0.24,271.0,4,1.3,-0.76,0.99,0.9,25.8,8.9,500
DSP Nifty Next 50 Index Fund,Other,Index Funds,6,2,0.32,227.0,4,0.97,-4.59,0.97,-6.3,21.8,8.9,500
DSP Overnight Fund,Debt,Overnight Mutual Funds,1,4,0.06,2754.0,4,0.12,0.67,0.47,5.4,3.9,8.9,500
DSP Regular Savings Fund,Hybrid,Conservative Hybrid Mutual Funds,3,2,0.51,199.0,10,1.55,2.26,0.61,3.0,10.8,6.0,500
DSP Savings Fund,Debt,Money Market Funds,3,2,0.25,3903.0,10,1.15,3.15,1.65,5.0,5.3,5.9,500
DSP Short Term Fund,Debt,Short Duration Funds,2,2,0.3,2821.0,10,0.96,4.96,2.51,4.1,6.1,6.7,500
DSP Small Cap Fund,Equity,Small Cap Mutual Funds,6,2,0.9,8953.0,10,1.78,4.28,0.86,0.7,38.9,12.5,500
DSP Strategic Bond Fund,Debt,Dynamic Bond,2,3,0.47,481.0,10,0.41,0.84,1.36,3.0,5.4,7.3,500
DSP Tax Saver Fund,Equity,ELSS Mutual Funds,6,4,0.81,10129.0,10,1.51,2.57,0.94,1.8,28.8,13.3,500
DSP Top 100 Equity Fund,Equity,Large Cap Mutual Funds,6,1,1.27,2605.0,10,1.18,-1.79,0.91,3.6,21.8,8.9,500
DSP Ultra Short Fund,Debt,Ultra Short Duration Funds,2,3,0.3,2736.0,10,1.54,2.39,1.19,5.5,4.9,5.5,500
DSP US Flexible Equity Fund,Other,FoFs Overseas,6,0,1.52,770.0,10,1.1,-,-,2.2,23.8,13.6,500
DSP World Gold Fund,Other,FoFs Overseas,6,0,1.81,777.0,10,0.4,-,-,-9.0,14.8,10.2,500
DSP World Mining Fund,Other,FoFs Overseas,6,0,1.5,188.0,10,1.08,-,-,-5.4,37.1,15.0,500
Edelweiss Aggressive Hybrid Fund,Hybrid,Aggressive Hybrid Mutual Funds,6,4,0.36,469.0,10,1.72,5.57,0.79,6.5,24.6,13.0,500
Edelweiss Arbitrage Fund,Hybrid,Arbitrage Mutual Funds,1,5,0.37,5393.0,9,1.31,1.78,0.63,5.8,5.0,5.7,500
Edelweiss Balanced Advantage Fund,Hybrid,Dynamic Asset Allocation or Balanced Advantage,6,4,0.51,8780.0,10,1.48,2.1,0.67,2.9,18.5,12.0,500
Edelweiss Banking & Psu Debt Fund,Debt,Banking and PSU Mutual Funds,3,2,0.26,355.0,10,0.55,6.29,3.18,3.5,6.9,7.9,500
