schemeCode,schemeName,isinGrowth,isinDivReinvestment
102071,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Retail Growth,,
102073,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Institutional Growth,,
102075,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Retail Growth-1,,
102077,ICICI Prudential FMP Series 5-FMP Yearly Series 5-Institutional Growth-1,,
102088,Tata Gilt Retirement Plan (28-2-14) Growth,,
102116,Tata Gilt Retirement Plan (28-2-16) Growth,,
102126,Tata Gilt Retirement Plan (28-2-15) Growth,,
102133,ICICI Prudential Multi Sector Passive FOF - Growth,INF109K01795,
102135,ICICI Prudential Aggressive Hybrid Active FOF - Growth,INF109K01852,
102137,ICICI Prudential Dynamic Asset Allocation Active FOF - Growth,INF109K01837,
102139,ICICI Prudential Income Plus Arbitrage Omni FOF - Growth,INF109K01811,
102141,ICICI Prudential Diversified Debt Strategy Active FOF - Growth,INF109K01878,
102142,Sundaram Consumption Fund(Formerly Known as Sundaram Rural and Consumption Fund Regular Plan - Growth),INF903J01561,
102144,HDFC MF Monthly Income Plan-Short Term Plan-Growth Option,,
102147,HDFC Hybrid Debt Fund - Growth Plan,INF179K01AE4,
102153,Tata Money Market Fund Regular (Growth),,
102155,Tata Floating Rate Fund - Long Term Plan- Regular Plan - Growth,,
102171,Principal Corporate Bond Fund -Growth,,
102172,Nippon India Conservative Hybrid  Fund-Growth Plan,INF204K01FD1,
102178,Sundaram Monthly Income Plan-Growth,,
102179,JM G-Sec - PF Plus-Growth Plan,,
102183,Kotak Global-India-Growth,,
102185,Aditya Birla Sun Life Asset Allocation Fund-Aggressive Plan-Growth Plan,,
102187,Aditya Birla Sun Life Asset Allocation Fund-Moderate Plan-Growth Plan,,
102189,Aditya Birla Sun Life Asset Allocation Fund-Conservative Plan-Growth Plan,,
102196,DWS Equity Income Fund - Growth Option,,
102200,DWS MIP-DWS MIP Plan B-DWS MIP Plan B-  Growth Option,,
102201,SBI MAGNUM NRI - SHORT TERM BOND PLAN-GROWTH,,
102204,DWS Investment Opportunity Fund - Growth Option,,
102205,SBI Dynamic Bond Fund - REGULAR PLAN - Growth,INF200K01958,
102207,SBI MAGNUM NRI FLEXIASSET PLAN-GROWTH,,
102222,ING Dynamic Duration Fund-Growth Option,,
102232,ING MIP Fund-Growth Option,,
102242,ING Large Cap Equity Fund-Growth Option,,
102248,ICICI Prudential Gilt Fund Treasury Plan PF Option - Growth,,
102252,HSBC Flexi Cap Fund - Regular Growth,INF336L01AF5,
102259,HSBC MIP - Regular - Growth,,
102262,HSBC Conservative Hybrid Fund - Regular Growth,INF336L01099,
102267,UTI Children's Equity Fund - Regular Plan - Growth Option,INF789F1AZT4,
102268,LIC NOMURA MF Floating Rate Fund - Short Term Plan-Growth,,
102272,SBI NIFTY INDEX FUND - REGULAR PLAN - GROWTH,INF200K01537,
102283,Tata MIP Plus Fund -Regular Plan - Growth,,
102289,ICICI Prudential FMP Yearly Series 24-Growth,,
102300,Grindlays Government Securities Fund-Provident fund Plan-Regular- Plan A-Growth/Appreciation,,
102306,Grindlays Government Securities Fund-Provident fund Plan-Institutional Plan-Plan B-Growth/Appreciation,,
102315,ING Tax Savings Fund-Growth Option,,
102320,Franklin India Index Fund - BSE Plan - Growth Plan,,
